Time,Open,High,Low,Close,Volume
2023-10-31 03:15:00,1801.6,1801.6,1796.91,1797.31,954.5455
2023-10-31 03:30:00,1799.89,1801.1,1799.35,1800.99,436.4516
2023-10-31 03:45:00,1798.3,1798.45,1795.24,1796.04,856.1816
2023-10-31 04:00:00,1796.65,1796.66,1793.74,1795.15,1050.0376
2023-10-31 04:15:00,1795.28,1797.27,1795.27,1797.23,424.2565
2023-10-31 04:30:00,1798.31,1799.25,1798.06,1799.01,266.8818
2023-10-31 04:45:00,1798.97,1799.26,1798.53,1798.66,292.838
2023-10-31 05:00:00,1799.4,1800.43,1799.4,1799.98,392.1189
2023-10-31 05:15:00,1796.41,1798.7,1796.41,1798.46,547.6824
2023-10-31 05:30:00,1801.7,1802.92,1801.7,1801.95,450.1217
2023-10-31 05:45:00,1802.22,1802.9,1801.4,1802.32,441.2331
2023-10-31 06:00:00,1801.87,1802.21,1801.19,1801.43,485.8169
2023-10-31 06:15:00,1803.19,1804.34,1802.11,1804.33,1298.3281
2023-10-31 06:30:00,1802.86,1802.86,1800.04,1800.05,699.9116
2023-10-31 06:45:00,1798.02,1800.52,1797.21,1799.1,707.6464
2023-10-31 07:00:00,1794.27,1797.2,1794.0,1795.26,848.4032
2023-10-31 07:15:00,1797.71,1797.76,1797.0,1797.61,295.9009
2023-10-31 07:30:00,1793.72,1794.6,1792.43,1792.44,768.0831
2023-10-31 07:45:00,1791.77,1794.42,1791.76,1793.06,712.4773
2023-10-31 08:00:00,1791.6,1793.05,1790.05,1790.58,568.5767
2023-10-31 08:15:00,1789.82,1793.18,1787.0,1793.02,2901.942
2023-10-31 08:30:00,1793.89,1797.08,1793.42,1796.78,1429.7359
2023-10-31 08:45:00,1797.47,1799.09,1795.86,1796.95,1270.2085
2023-10-31 09:00:00,1800.65,1801.85,1800.0,1801.39,949.7012
2023-10-31 09:15:00,1799.94,1802.8,1799.69,1801.1,508.0717
2023-10-31 09:30:00,1799.78,1799.78,1796.55,1798.36,693.998
2023-10-31 09:45:00,1801.67,1802.18,1801.11,1801.12,507.0801
2023-10-31 10:00:00,1803.17,1803.51,1802.41,1802.46,607.8794
2023-10-31 10:15:00,1800.75,1800.92,1800.2,1800.21,478.4603
2023-10-31 10:30:00,1801.65,1802.68,1800.41,1800.74,451.7164
2023-10-31 10:45:00,1803.2,1803.43,1801.85,1802.46,466.9167
2023-10-31 11:00:00,1802.82,1803.21,1801.19,1801.47,617.4601
2023-10-31 11:15:00,1801.51,1802.4,1800.41,1801.5,748.0749
2023-10-31 11:30:00,1801.54,1802.76,1801.54,1802.75,423.7807
2023-10-31 11:45:00,1805.94,1809.53,1805.93,1807.69,658.2487
2023-10-31 12:00:00,1811.49,1812.0,1808.94,1809.41,983.8007
2023-10-31 12:15:00,1811.6,1811.84,1810.0,1811.68,726.4508
2023-10-31 12:30:00,1807.91,1808.54,1804.0,1804.77,1407.4959
2023-10-31 12:45:00,1805.05,1805.72,1801.89,1803.14,735.2341
2023-10-31 13:00:00,1796.95,1799.0,1796.01,1798.76,883.3871
